x_px,y_px,diameter_px,clumped
5767.79,5810.06,12.59,0
5556.22,6250.08,10.00,0
5626.77,6142.13,4.88,0
5615.65,6128.18,10.81,0
5742.45,6011.02,6.90,0
5405.65,5894.20,11.66,0
5990.64,5858.81,11.86,0
6486.06,5722.85,11.96,0
6211.39,5714.52,12.22,0
6171.98,5709.83,12.77,0
5488.88,5636.19,12.73,0
6376.41,5627.25,12.15,0
6320.86,5557.63,11.47,0
6341.78,5516.17,12.21,0
6017.33,5505.13,6.07,0
6132.76,5494.64,10.83,0
6303.54,5426.11,12.55,0
5243.51,5427.75,5.26,0
5540.60,5377.84,13.17,0
5519.64,5273.51,9.81,0
5636.92,5228.27,11.62,0
6078.19,6831.43,5.22,0
5591.35,6688.90,6.26,0
5875.41,6446.75,11.05,0
5799.01,6433.04,12.11,0
6550.56,6279.97,12.06,0
5860.04,6192.67,14.78,0
6492.54,6149.96,14.15,0
5739.16,6079.73,13.98,0
5618.24,6015.40,13.66,0
5425.93,6008.76,12.53,0
5495.89,6011.12,12.10,0
5665.97,5995.67,12.99,0
6387.83,5959.18,11.58,0
6684.65,5880.39,5.13,0
6456.57,5875.63,11.41,0
5777.88,5863.13,11.94,0
5834.31,5839.60,12.53,0
5715.83,5821.92,12.78,0
5434.74,5766.59,11.05,0
6114.04,5763.88,14.23,0
6107.20,5628.22,8.53,0
6047.76,5570.90,11.86,0
6151.69,5510.63,11.09,0
5937.23,5501.36,12.88,0
5492.62,5498.16,12.68,0
6146.44,5489.11,10.53,0
5967.75,5463.71,12.79,0
5871.57,5328.87,12.09,0
5803.62,5286.99,9.69,0
5848.44,5025.53,10.74,0
5211.88,6594.06,4.61,0
6181.11,6290.95,12.31,0
6688.26,6104.96,12.87,0
5430.57,6068.04,10.14,0
6453.23,5968.11,12.06,0
6550.71,5957.46,11.85,0
5629.46,5951.12,11.68,0
5976.68,5944.76,13.06,0
6519.89,5824.47,12.75,0
5524.00,5807.19,12.04,0
5506.50,5806.46,10.56,0
6260.53,5776.15,14.68,0
5948.71,5733.99,10.10,0
6733.01,5671.66,12.71,0
5468.32,5627.07,10.70,0
6277.38,5621.58,11.94,0
6074.49,5588.88,12.66,0
6272.79,5592.23,11.93,0
6025.19,5590.44,10.35,0
6286.33,5583.94,10.09,0
6416.54,5467.32,12.22,0
6622.58,5448.36,14.49,0
5708.54,5439.17,14.44,0
6160.34,5429.28,11.30,0
6560.30,5375.99,13.48,0
5521.54,5271.55,15.35,0
6229.20,5201.55,10.93,0
5529.45,5194.97,11.97,0
5618.68,5088.29,11.59,0
5670.88,5073.92,11.35,0
5711.87,5048.50,11.84,0
5761.43,5031.75,4.27,0
5777.12,5024.34,11.07,0
6100.29,5004.94,12.92,0
5717.48,6029.77,12.24,0
5818.61,5968.13,12.28,0
5831.88,5961.72,11.56,0
6492.40,5951.44,9.71,0
5973.07,5931.57,6.45,0
6054.59,5910.32,14.17,0
6067.49,5898.65,14.22,0
6014.60,5809.47,13.00,0
6434.07,5766.68,11.47,0
6504.17,5717.42,15.08,0
6161.00,5697.90,10.95,0
6164.14,5686.98,10.69,0
6409.34,5661.04,13.71,0
6181.53,5521.81,14.15,0
6222.43,5433.18,11.20,0
5493.77,5417.61,10.56,0
5444.90,5360.35,11.58,0
6297.88,5233.48,10.59,0
5827.57,5109.83,13.37,0
5842.55,5059.00,15.04,0
5971.40,5050.73,14.79,0
5923.05,5036.03,12.51,0
5951.29,5030.41,10.83,0
5931.87,5005.24,11.64,0
6020.80,4974.86,10.29,0
5539.03,6255.30,12.61,0
5521.90,6240.12,11.68,0
5558.12,6017.17,14.01,0
5542.22,6011.32,13.32,0
6041.92,5997.78,13.47,0
6024.30,5997.71,13.68,0
6479.36,5940.84,11.23,0
5497.60,5938.08,13.66,0
5512.71,5932.65,11.43,0
5718.83,5913.99,11.99,0
5598.33,5873.42,11.26,0
6489.79,5783.08,12.45,0
6012.81,5781.68,12.13,0
5634.53,5773.92,12.07,0
5618.52,5771.11,14.35,0
6630.23,5756.33,11.00,0
6367.14,5678.81,13.96,0
6377.15,5646.82,13.14,0
6253.94,5610.40,12.49,0
6549.68,5592.06,12.60,0
6563.86,5588.53,11.78,0
5507.63,5411.03,13.38,0
5653.07,5222.78,11.83,0
5826.02,5013.51,12.19,0
5564.74,6277.71,13.39,0
5875.00,6061.40,13.92,0
5844.36,6046.59,13.12,0
5957.37,5930.86,11.56,0
5502.18,5920.46,13.03,0
5501.22,5873.15,11.74,0
5999.75,5842.10,12.40,0
6033.62,5745.14,13.70,0
6023.15,5730.25,13.27,0
6027.95,5713.93,12.85,0
6041.51,5706.02,11.46,0
6028.06,5696.77,12.85,0
6044.06,5691.54,12.28,0
6176.33,5679.39,10.93,0
6385.27,5679.97,13.16,0
6392.03,5656.39,11.30,0
6218.89,5666.00,10.54,0
6229.46,5654.71,12.82,0
6263.67,5626.84,14.26,0
5468.53,5610.59,13.04,0
6274.37,5579.94,12.01,0
6357.53,5527.96,13.34,0
6146.85,5523.12,12.09,0
6163.19,5519.83,13.72,0
6357.41,5510.16,11.03,0
6152.16,5475.12,11.12,0
5471.03,5341.90,13.72,0
5469.67,5324.14,12.23,0
5630.50,5168.09,11.18,0
5841.15,5011.73,10.82,0
5902.34,5005.50,10.24,0
5887.72,5004.86,11.82,0
6057.54,6463.92,13.71,0
5550.90,6266.93,12.31,0
5731.10,6156.04,10.77,0
5623.10,6110.44,12.32,0
5859.88,6053.75,12.79,0
6708.72,6049.91,11.89,0
5873.95,6043.83,12.56,0
5858.87,6038.43,10.75,0
5733.26,5909.13,11.91,0
6730.77,5824.73,12.35,0
5535.52,5808.54,9.74,0
5527.55,5795.58,11.39,0
6024.85,5795.28,12.74,0
6028.80,5777.93,11.79,0
6172.56,5694.39,11.28,0
6025.19,5607.89,11.50,0
6401.36,5564.63,10.52,0
6399.60,5548.58,13.63,0
6019.94,5502.18,11.95,0
6174.07,5432.67,11.50,0
5504.67,5429.27,11.61,0
6169.18,5418.03,12.33,0
5975.07,5886.08,10.82,0
6443.26,5755.58,11.77,0
6267.08,5272.10,12.20,0
6172.40,5044.15,12.50,0
6656.88,4910.12,6.48,1
6735.15,4927.79,6.48,1
5604.81,5173.79,44.21,1
6523.91,5220.30,13.77,1
5536.60,5276.16,36.30,1
5599.47,5321.51,23.96,1
6238.64,5409.10,37.86,1
6208.14,5463.43,20.03,1
6047.96,5590.58,56.55,1
6697.35,5631.18,21.76,1
5531.84,5639.84,21.97,1
6735.90,5650.10,5.17,1
6004.36,5817.74,85.65,1
5488.78,5713.93,26.77,1
6738.33,5811.66,31.70,1
6055.27,5853.67,4.37,1
5607.74,5889.41,33.51,1
5672.96,5924.38,22.37,1
5724.04,6005.06,49.34,1
6672.88,6000.75,4.51,1
5609.16,6058.60,23.70,1
5627.40,6123.43,35.47,1
6521.26,6170.83,5.41,1
5909.00,6228.21,4.22,1
5931.20,6241.41,10.82,1
5839.87,6326.37,6.18,1
5852.31,6330.44,6.38,1
5842.00,6340.00,4.51,1
5936.50,6455.67,36.00,1
6555.24,6389.42,13.49,1
5729.47,6406.07,24.88,1
5494.07,6630.67,4.37,1
6689.96,6663.48,15.47,1
6269.93,6739.67,4.37,1
5400.64,6883.93,4.22,1
5564.18,6956.77,11.45,1
