x_px,y_px,diameter_px,clumped
3013.76,4948.00,4.65,1
4262.64,6185.66,3.61,0
4021.42,5428.03,3.62,0
3264.80,5329.55,2.24,0
3834.57,4918.71,2.99,1
3996.00,4938.50,2.76,1
3832.50,5007.00,3.19,1
3394.39,5028.78,20.87,1
3227.42,5078.59,26.87,1
3713.69,5059.45,12.26,1
3251.14,5056.71,4.22,1
4310.67,5122.50,2.76,1
3499.59,5186.85,28.90,1
3522.67,5215.17,2.76,1
4128.80,5238.21,20.87,1
3888.05,5250.52,20.44,1
4020.15,5294.13,20.74,1
3247.57,5307.57,13.06,1
3442.85,5359.91,26.37,1
4304.94,5453.77,28.23,1
3379.59,5467.51,31.33,1
3208.38,5450.00,3.19,1
4608.43,5461.29,2.99,1
3736.00,5478.00,2.52,1
3693.90,5488.98,18.05,1
3397.00,5488.00,2.52,1
3192.80,5521.11,44.47,1
3737.50,5488.50,3.19,1
4075.67,5532.92,26.63,1
4612.33,5569.64,9.03,1
3753.63,5600.61,31.19,1
3609.39,5606.47,25.03,1
3487.57,5629.71,2.99,1
3677.41,5660.47,26.94,1
3895.56,5671.36,32.39,1
4141.98,5659.26,17.63,1
3344.33,5667.50,2.76,1
3153.29,5688.54,27.20,1
3494.33,5715.19,32.61,1
4267.47,5712.50,17.70,1
4216.00,5732.50,2.26,1
3484.06,5765.34,24.57,1
3386.82,5773.47,22.60,1
3611.62,5801.28,32.35,1
4036.35,5863.25,58.49,1
3267.26,5839.19,29.98,1
3964.51,5842.58,31.51,1
4345.29,5846.36,33.70,1
3286.92,5900.53,36.82,1
4175.50,5927.28,16.93,1
4204.72,5950.37,18.47,1
3475.43,5996.29,2.99,1
3191.37,6014.25,18.09,1
4557.59,6053.26,11.17,1
3551.00,6085.50,2.26,1
3828.80,6097.60,2.52,1
3728.58,6125.08,25.98,1
3384.33,6138.50,2.76,1
4251.93,6179.33,4.37,1
3918.02,6193.52,21.29,1
3407.55,6228.16,52.97,1
3989.24,6238.99,16.96,1
4501.40,6255.14,16.55,1
3473.50,6255.50,2.26,1
3896.20,6295.60,2.52,1
3023.00,6302.50,2.26,1
4256.43,6331.71,2.99,1
3831.00,6377.50,2.26,1
3832.23,6475.57,29.90,1
3362.74,6528.29,9.37,1
3125.25,6567.75,3.19,1
3446.99,6621.61,16.85,1
4065.75,5885.75,2.24,0
3199.25,5535.05,3.93,0
3686.07,5519.00,2.74,0
3418.95,6354.76,15.54,0
4055.00,5898.59,3.61,0
3190.70,5420.30,5.16,0
4497.50,6363.88,3.61,0
3604.76,6008.81,3.11,0
3820.39,5962.39,9.46,0
3988.96,5881.06,2.49,0
3310.06,6152.78,2.95,0
3038.26,6127.72,15.13,0
3481.09,5946.89,12.13,0
3586.31,5928.05,9.58,0
4016.88,5816.14,4.25,0
3194.48,5503.84,4.55,0
3379.73,5454.36,13.75,0
3666.39,5398.47,14.15,0
