x_px,y_px,diameter_px,clumped
4109.26,6572.00,5.01,0
4069.64,6005.99,12.97,0
3639.34,5944.58,5.49,0
4396.41,5882.94,5.06,0
4187.05,5171.88,14.06,0
4271.38,6841.00,6.02,0
3597.15,6780.32,4.56,0
3150.39,6737.79,4.57,0
3864.94,6415.61,13.86,0
4062.85,6314.95,13.97,0
3662.72,6278.69,14.05,0
3988.95,6239.13,14.07,0
4260.80,6184.12,4.84,0
3637.78,6136.84,13.49,0
4247.49,6072.22,14.86,0
3601.57,6010.38,15.72,0
3954.93,5981.91,14.27,0
3822.59,5966.73,11.16,0
4230.71,5967.95,13.93,0
3480.54,5946.94,13.11,0
4253.20,5903.48,15.56,0
3669.19,5887.00,15.90,0
3769.61,5845.78,16.68,0
4536.99,5836.41,15.49,0
3661.73,5740.31,15.63,0
4267.72,5712.24,14.25,0
3715.33,5564.57,16.71,0
3569.64,5563.78,14.33,0
3880.27,5549.07,14.85,0
4149.72,5523.69,13.31,0
4307.32,5503.77,14.54,0
4070.89,5448.91,14.29,0
4019.93,5429.55,5.44,0
3540.42,5382.35,14.97,0
3031.29,5329.64,13.19,0
3270.14,5316.71,4.55,0
3831.98,6464.30,17.42,0
3867.36,6352.24,13.08,0
3418.36,6354.73,16.42,0
3170.27,6234.67,12.78,0
3918.34,6194.15,16.25,0
3450.15,6177.54,15.41,0
3308.97,6154.17,16.89,0
4007.87,6087.52,13.67,0
3615.73,6077.39,14.54,0
3397.62,6040.26,14.94,0
3191.51,6014.15,13.73,0
4205.73,5948.66,5.66,0
4176.19,5927.12,14.36,0
3587.90,5927.38,18.37,0
4037.12,5871.64,14.08,0
4038.49,5833.02,13.55,0
3325.10,5822.27,14.02,0
2980.51,5793.62,13.42,0
3278.50,5800.78,14.41,0
3241.10,5788.24,15.16,0
3758.39,5764.94,13.75,0
3162.27,5754.67,14.52,0
3412.42,5749.41,12.94,0
3196.43,5710.43,14.40,0
3506.81,5701.58,13.69,0
3246.14,5701.68,16.44,0
4093.35,5697.29,13.47,0
3158.30,5685.28,8.87,0
4142.25,5660.25,12.77,0
4306.33,5617.34,15.43,0
3650.36,5595.13,15.71,0
4072.37,5582.04,14.99,0
3525.49,5570.47,14.15,0
3494.67,5518.46,14.82,0
3396.33,5511.19,15.32,0
3693.78,5489.13,15.08,0
3373.65,5483.64,13.51,0
3625.51,5467.28,14.89,0
3677.48,5450.36,14.57,0
4037.38,5429.03,11.23,0
3666.07,5395.95,15.06,0
3336.26,5382.04,12.94,0
4059.26,5366.25,14.08,0
4297.22,5351.97,15.22,0
3647.63,5331.38,13.48,0
3332.51,5331.32,11.88,0
3595.95,5270.76,15.75,0
4126.99,5239.86,14.95,0
3751.46,5211.50,13.85,0
4384.31,5126.27,15.45,0
3427.79,4785.90,4.69,0
3833.62,6492.24,13.54,0
3037.54,6127.80,13.21,0
3037.03,5865.99,14.34,0
4027.98,5855.25,13.54,0
3896.07,5678.50,5.00,0
3385.81,5467.60,14.28,0
3201.42,5433.05,8.70,0
3530.30,5343.13,12.42,0
3605.83,5206.12,17.46,0
3507.56,5187.50,17.49,0
3336.47,5139.03,12.79,0
3957.39,5847.77,14.10,0
4013.77,5815.52,4.70,0
3440.82,5364.68,5.10,0
3148.18,5692.42,14.29,0
3262.16,5557.48,13.08,0
2951.32,6037.09,6.30,0
3484.56,5766.29,6.17,0
3679.02,5661.95,5.71,0
2953.18,6063.55,6.57,0
4741.68,4826.30,32.61,1
3470.78,4819.10,23.37,1
4728.49,4839.54,6.68,1
4744.77,4906.48,30.38,1
3394.39,5028.78,20.87,1
3227.42,5078.59,26.87,1
3713.69,5059.45,12.26,1
3251.14,5056.71,4.22,1
3888.05,5250.52,20.44,1
4020.15,5294.13,20.74,1
3247.57,5307.57,13.06,1
3262.21,5329.96,33.38,1
4304.94,5453.77,28.23,1
3192.80,5521.11,44.47,1
4075.67,5532.92,26.63,1
4612.33,5569.64,9.03,1
3753.63,5600.61,31.19,1
3609.39,5606.47,25.03,1
3494.33,5715.19,32.61,1
3386.82,5773.47,22.60,1
3611.62,5801.28,32.35,1
3267.26,5839.19,29.98,1
4345.29,5846.36,33.70,1
3286.92,5900.53,36.82,1
4557.59,6053.26,11.17,1
3728.58,6125.08,25.98,1
3407.55,6228.16,52.97,1
4501.40,6255.14,16.55,1
2961.37,6281.82,6.96,1
3362.74,6528.29,9.37,1
3440.99,6630.80,19.90,1
3020.19,6682.14,5.17,1
3986.79,6733.29,27.57,1
3760.08,6733.64,5.64,1
3481.35,6783.95,33.05,1
