x_px,y_px,diameter_px,clumped
3080.66,6142.66,4.93,0
3865.00,6415.49,16.03,0
4063.09,6314.88,13.97,0
3662.72,6278.57,16.89,0
3989.01,6239.07,15.92,0
3637.66,6136.76,13.49,0
4247.51,6072.18,16.26,0
3954.90,5981.93,15.93,0
3822.60,5966.71,13.11,0
4230.63,5967.92,16.14,0
3479.92,5946.94,14.99,0
3669.18,5886.93,17.86,0
3769.59,5845.73,18.12,0
4537.36,5836.51,15.49,0
3661.36,5740.27,15.63,0
4267.68,5712.14,15.70,0
3715.38,5564.61,18.46,0
3569.66,5563.80,16.64,0
3880.29,5549.04,16.70,0
4149.66,5523.63,15.49,0
4307.30,5503.70,16.78,0
4070.90,5448.90,16.41,0
4019.89,5429.55,6.49,0
3540.38,5382.37,17.30,0
3031.29,5329.64,13.19,0
3418.32,6354.77,16.42,0
3037.50,6127.78,14.62,0
3191.61,6014.06,13.73,0
3587.94,5927.41,18.37,0
3036.90,5865.92,16.70,0
4038.55,5833.16,13.55,0
3506.83,5701.36,13.69,0
3896.07,5678.50,5.00,0
4142.41,5660.66,11.94,0
3650.38,5595.19,15.71,0
3373.61,5483.75,13.51,0
3596.02,5270.76,15.75,0
4813.11,4844.16,5.27,0
