index,position,bead_id,angle_deg,x_um,y_um,bead_x_um,bead_y_um,bead_diameter_um,nn_um,clumped
0,B1526_A000,1526,0.0,149.85,1882.34,89.85,1882.34,86.05,371.33,0
1,B1526_A090,1526,90.0,89.85,1942.34,89.85,1882.34,86.05,371.33,0
2,B1526_A180,1526,180.0,29.85,1882.34,89.85,1882.34,86.05,371.33,0
3,B1526_A270,1526,270.0,89.85,1822.34,89.85,1882.34,86.05,371.33,0
4,B1517_A000,1517,0.0,329.89,2207.10,269.89,2207.10,78.49,358.89,0
5,B1517_A090,1517,90.0,269.89,2267.10,269.89,2207.10,78.49,358.89,0
6,B1517_A180,1517,180.0,209.89,2207.10,269.89,2207.10,78.49,358.89,0
7,B1517_A270,1517,270.0,269.89,2147.10,269.89,2207.10,78.49,358.89,0
8,B1076_A000,1076,0.0,2654.28,8636.13,2594.28,8636.13,81.81,319.20,0
9,B1076_A090,1076,90.0,2594.28,8696.13,2594.28,8636.13,81.81,319.20,0
10,B1076_A180,1076,180.0,2534.28,8636.13,2594.28,8636.13,81.81,319.20,0
11,B1076_A270,1076,270.0,2594.28,8576.13,2594.28,8636.13,81.81,319.20,0
12,B1510_A000,1510,0.0,6191.84,9460.98,6131.84,9460.98,78.67,305.70,0
13,B1510_A090,1510,90.0,6131.84,9520.98,6131.84,9460.98,78.67,305.70,0
14,B1510_A180,1510,180.0,6071.84,9460.98,6131.84,9460.98,78.67,305.70,0
15,B1510_A270,1510,270.0,6131.84,9400.98,6131.84,9460.98,78.67,305.70,0
16,B1473_A000,1473,0.0,5949.77,9647.67,5889.77,9647.67,86.39,305.70,0
17,B1473_A090,1473,90.0,5889.77,9707.67,5889.77,9647.67,86.39,305.70,0
18,B1473_A180,1473,180.0,5829.77,9647.67,5889.77,9647.67,86.39,305.70,0
19,B1473_A270,1473,270.0,5889.77,9587.67,5889.77,9647.67,86.39,305.70,0
20,B1219_A000,1219,0.0,4533.07,9934.09,4473.07,9934.09,80.90,492.28,0
21,B1219_A090,1219,90.0,4473.07,9994.09,4473.07,9934.09,80.90,492.28,0
22,B1219_A180,1219,180.0,4413.07,9934.09,4473.07,9934.09,80.90,492.28,0
23,B1219_A270,1219,270.0,4473.07,9874.09,4473.07,9934.09,80.90,492.28,0
24,B1130_A000,1130,0.0,4042.18,9971.05,3982.18,9971.05,73.42,492.28,0
25,B1130_A090,1130,90.0,3982.18,10031.05,3982.18,9971.05,73.42,492.28,0
26,B1130_A180,1130,180.0,3922.18,9971.05,3982.18,9971.05,73.42,492.28,0
27,B1130_A270,1130,270.0,3982.18,9911.05,3982.18,9971.05,73.42,492.28,0
28,B1200_A000,1200,0.0,3742.08,9089.68,3682.08,9089.68,84.48,510.58,0
29,B1200_A090,1200,90.0,3682.08,9149.68,3682.08,9089.68,84.48,510.58,0
30,B1200_A180,1200,180.0,3622.08,9089.68,3682.08,9089.68,84.48,510.58,0
31,B1200_A270,1200,270.0,3682.08,9029.68,3682.08,9089.68,84.48,510.58,0
32,B1010_A000,1010,0.0,3095.70,9585.66,3035.70,9585.66,79.61,325.65,0
33,B1010_A090,1010,90.0,3035.70,9645.66,3035.70,9585.66,79.61,325.65,0
34,B1010_A180,1010,180.0,2975.70,9585.66,3035.70,9585.66,79.61,325.65,0
35,B1010_A270,1010,270.0,3035.70,9525.66,3035.70,9585.66,79.61,325.65,0
36,B0588_A000,588,0.0,1442.96,10609.15,1382.96,10609.15,81.99,242.16,0
37,B0588_A090,588,90.0,1382.96,10669.15,1382.96,10609.15,81.99,242.16,0
38,B0588_A180,588,180.0,1322.96,10609.15,1382.96,10609.15,81.99,242.16,0
39,B0588_A270,588,270.0,1382.96,10549.15,1382.96,10609.15,81.99,242.16,0
40,B0796_A000,796,0.0,2817.81,10816.81,2757.81,10816.81,79.42,298.10,0
41,B0796_A090,796,90.0,2757.81,10876.81,2757.81,10816.81,79.42,298.10,0
42,B0796_A180,796,180.0,2697.81,10816.81,2757.81,10816.81,79.42,298.10,0
43,B0796_A270,796,270.0,2757.81,10756.81,2757.81,10816.81,79.42,298.10,0
44,B0987_A000,987,0.0,3835.58,10636.98,3775.58,10636.98,87.07,501.57,0
45,B0987_A090,987,90.0,3775.58,10696.98,3775.58,10636.98,87.07,501.57,0
46,B0987_A180,987,180.0,3715.58,10636.98,3775.58,10636.98,87.07,501.57,0
47,B0987_A270,987,270.0,3775.58,10576.98,3775.58,10636.98,87.07,501.57,0
48,B1109_A000,1109,0.0,4303.27,10455.77,4243.27,10455.77,82.17,501.57,0
49,B1109_A090,1109,90.0,4243.27,10515.77,4243.27,10455.77,82.17,501.57,0
50,B1109_A180,1109,180.0,4183.27,10455.77,4243.27,10455.77,82.17,501.57,0
51,B1109_A270,1109,270.0,4243.27,10395.77,4243.27,10455.77,82.17,501.57,0
52,B1089_A000,1089,0.0,4652.53,10995.83,4592.53,10995.83,67.09,637.44,0
53,B1089_A090,1089,90.0,4592.53,11055.83,4592.53,10995.83,67.09,637.44,0
54,B1089_A180,1089,180.0,4532.53,10995.83,4592.53,10995.83,67.09,637.44,0
55,B1089_A270,1089,270.0,4592.53,10935.83,4592.53,10995.83,67.09,637.44,0
56,B1416_A000,1416,0.0,6301.99,10634.84,6241.99,10634.84,81.81,330.73,0
57,B1416_A090,1416,90.0,6241.99,10694.84,6241.99,10634.84,81.81,330.73,0
58,B1416_A180,1416,180.0,6181.99,10634.84,6241.99,10634.84,81.81,330.73,0
59,B1416_A270,1416,270.0,6241.99,10574.84,6241.99,10634.84,81.81,330.73,0
60,B1269_A000,1269,0.0,5849.98,11161.16,5789.98,11161.16,82.35,308.07,0
61,B1269_A090,1269,90.0,5789.98,11221.16,5789.98,11161.16,82.35,308.07,0
62,B1269_A180,1269,180.0,5729.98,11161.16,5789.98,11161.16,82.35,308.07,0
63,B1269_A270,1269,270.0,5789.98,11101.16,5789.98,11161.16,82.35,308.07,0
